epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,526.479,1.22619,0.97749,1.21369,0.82314,0.7689,0.82603,0.53966,0.96357,0.92916,1.2586,0.00066087,0.00066087,0.00066087
2,1047.62,1.22211,0.99029,1.22474,0.75754,0.70112,0.76244,0.46531,1.19002,1.65849,1.47971,0.00130125,0.00130125,0.00130125
3,1569.34,1.30184,1.02891,1.25053,0.7281,0.70694,0.73778,0.45158,1.13328,1.33504,1.45428,0.00191523,0.00191523,0.00191523
4,2092.35,1.28722,1.04018,1.24675,0.78398,0.71205,0.76778,0.47321,1.10906,1.23009,1.3968,0.0018812,0.0018812,0.0018812
5,2576.72,1.28879,1.02692,1.24883,0.77868,0.75056,0.79201,0.50031,1.07762,1.24377,1.38522,0.0018416,0.0018416,0.0018416
6,3085.91,1.23582,0.95962,1.21169,0.79857,0.76622,0.80622,0.5185,0.97174,0.97517,1.29518,0.001802,0.001802,0.001802
7,3568.2,1.22991,0.95374,1.21615,0.79136,0.72633,0.78821,0.49881,1.08915,1.06559,1.41808,0.0017624,0.0017624,0.0017624
8,4050.46,1.22977,0.93506,1.21263,0.73316,0.7264,0.75879,0.47807,1.11436,1.38988,1.38575,0.0017228,0.0017228,0.0017228
9,4601.44,1.19383,0.93119,1.19868,0.83211,0.73954,0.81035,0.52756,0.93814,0.96864,1.28714,0.0016832,0.0016832,0.0016832
10,5215.81,1.19419,0.91841,1.193,0.82777,0.76664,0.82419,0.53758,0.94231,0.91063,1.29467,0.0016436,0.0016436,0.0016436
11,5817.79,1.17245,0.90132,1.18492,0.81433,0.77022,0.81728,0.52605,1.09762,1.1193,1.39745,0.001604,0.001604,0.001604
12,6440.29,1.16256,0.89177,1.17873,0.82791,0.77651,0.83397,0.55126,0.88784,0.89629,1.23205,0.0015644,0.0015644,0.0015644
13,7078.42,1.1413,0.85825,1.16143,0.83961,0.79463,0.83613,0.55596,0.91072,0.91902,1.23905,0.0015248,0.0015248,0.0015248
14,7708.65,1.14086,0.85731,1.1633,0.83402,0.78523,0.83032,0.54225,0.9498,0.94862,1.28812,0.0014852,0.0014852,0.0014852
