epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1140.93,1.3425,1.35215,1.3166,0.74888,0.6736,0.7201,0.397,1.43528,1.86155,1.8166,0.000663768,0.000663768,0.000663768
2,2256.8,1.3979,1.23473,1.35082,0.71754,0.66547,0.68275,0.38759,1.25747,1.58313,1.66769,0.00129751,0.00129751,0.00129751
3,3376.29,1.38706,1.21195,1.35358,0.712,0.6305,0.66459,0.36,1.78585,1.96063,2.13987,0.00189824,0.00189824,0.00189824
4,4502.66,1.36485,1.21571,1.35248,0.78377,0.69955,0.76079,0.46593,1.14792,1.28223,1.57304,0.0018515,0.0018515,0.0018515
5,5653.86,1.31456,1.09107,1.29582,0.77851,0.74251,0.7831,0.49273,1.07605,1.18254,1.42561,0.001802,0.001802,0.001802
6,6781.2,1.279,1.08669,1.28779,0.81931,0.74027,0.79697,0.50285,1.0722,1.16617,1.4252,0.0017525,0.0017525,0.0017525
7,7913.62,1.2452,1.02029,1.27081,0.80998,0.75996,0.81248,0.51707,1.07546,1.09794,1.42481,0.001703,0.001703,0.001703
8,9057.31,1.21059,0.98086,1.2418,0.82365,0.77948,0.83223,0.54059,0.99025,1.09299,1.36052,0.0016535,0.0016535,0.0016535
9,10199.9,1.16911,0.96571,1.22235,0.83734,0.78389,0.83678,0.55552,0.9114,1.02021,1.24524,0.001604,0.001604,0.001604
10,11340.3,1.15625,0.92414,1.21228,0.83707,0.76018,0.82687,0.55406,0.90152,0.96408,1.28992,0.0015545,0.0015545,0.0015545
11,12484.7,1.13901,0.89361,1.20051,0.83573,0.78233,0.83505,0.55871,0.90657,0.95859,1.26217,0.001505,0.001505,0.001505
12,13630,1.13534,0.89119,1.19159,0.83507,0.80067,0.84019,0.56901,0.8816,0.92607,1.27461,0.0014555,0.0014555,0.0014555
13,14772.3,1.09109,0.86314,1.17609,0.84999,0.77704,0.8455,0.58007,0.89719,0.92597,1.25833,0.001406,0.001406,0.001406
14,15911.6,1.09259,0.86875,1.18187,0.83759,0.80425,0.83763,0.57457,0.8872,0.93965,1.26085,0.0013565,0.0013565,0.0013565
15,17048.3,1.07521,0.83671,1.1677,0.84564,0.8085,0.8529,0.59328,0.8315,0.8297,1.21489,0.001307,0.001307,0.001307
16,18185.1,1.06124,0.81402,1.14944,0.84683,0.80517,0.84943,0.58945,0.82503,0.81495,1.17985,0.0012575,0.0012575,0.0012575
17,19319.5,1.04854,0.79988,1.14127,0.85089,0.82528,0.86035,0.59823,0.77652,0.80447,1.16118,0.001208,0.001208,0.001208
18,20474.4,1.01942,0.80013,1.14481,0.85185,0.82215,0.86459,0.60887,0.7745,0.79543,1.16513,0.0011585,0.0011585,0.0011585
19,21686.3,1.02709,0.80533,1.13787,0.85896,0.79911,0.85648,0.60687,0.80577,0.79771,1.17492,0.001109,0.001109,0.001109
20,23074.6,1.0066,0.78107,1.13028,0.86543,0.82394,0.86631,0.62389,0.77642,0.76489,1.15115,0.0010595,0.0010595,0.0010595
21,24464.5,0.986,0.75156,1.10986,0.85811,0.81723,0.86633,0.61982,0.78305,0.76031,1.14572,0.00101,0.00101,0.00101
22,25860.5,0.99041,0.75868,1.11907,0.85418,0.82864,0.86763,0.6193,0.76138,0.78215,1.13222,0.0009605,0.0009605,0.0009605
23,27247.4,0.98432,0.7426,1.10886,0.84708,0.82655,0.86663,0.62071,0.73395,0.77043,1.12993,0.000911,0.000911,0.000911
24,28618.5,0.94788,0.71923,1.09304,0.86497,0.82506,0.87379,0.63247,0.70925,0.73711,1.09589,0.0008615,0.0008615,0.0008615
25,29981.3,0.94648,0.71338,1.08868,0.86101,0.81906,0.87188,0.63244,0.68976,0.72426,1.06658,0.000812,0.000812,0.000812
26,31347.2,0.93837,0.70192,1.07787,0.85637,0.83311,0.8752,0.63513,0.69968,0.69167,1.08149,0.0007625,0.0007625,0.0007625
27,32714.5,0.92636,0.70043,1.08191,0.85925,0.83244,0.87769,0.64127,0.69178,0.68134,1.0737,0.000713,0.000713,0.000713
28,34071.6,0.91745,0.69514,1.07706,0.86362,0.83019,0.8757,0.64268,0.65844,0.66166,1.04504,0.0006635,0.0006635,0.0006635
29,35439.3,0.91498,0.67734,1.07229,0.86027,0.84183,0.88399,0.65243,0.69325,0.66212,1.08676,0.000614,0.000614,0.000614
30,36806.7,0.88169,0.66822,1.06949,0.87724,0.83378,0.88512,0.65568,0.64854,0.66149,1.03727,0.0005645,0.0005645,0.0005645
31,38152.8,0.85315,0.66713,1.09336,0.87522,0.83477,0.88157,0.64543,0.68218,0.66317,1.05872,0.000515,0.000515,0.000515
32,39506.6,0.85989,0.65011,1.08153,0.87567,0.83039,0.88599,0.65712,0.65648,0.64916,1.05717,0.0004655,0.0004655,0.0004655
33,40888.8,0.84575,0.64902,1.08029,0.86641,0.83718,0.88474,0.65406,0.66889,0.65285,1.05118,0.000416,0.000416,0.000416
