epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,742.897,1.17861,0.84739,1.04171,0.69775,0.68198,0.72944,0.50224,1.24067,0.9234,1.07439,0.000468651,0.000468651,0.000468651
2,1467.15,1.20565,0.87137,1.0557,0.69151,0.6697,0.71449,0.48663,1.27832,0.94083,1.08162,0.000913799,0.000913799,0.000913799
3,2216.95,1.23084,0.89493,1.07327,0.70574,0.63311,0.7047,0.4807,1.30426,0.97657,1.10379,0.00132751,0.00132751,0.00132751
4,2908.95,1.22039,0.89723,1.0551,0.70798,0.64394,0.70657,0.47948,1.29058,0.96606,1.09284,0.00128753,0.00128753,0.00128753
5,3628.75,1.22312,0.89602,1.06458,0.72407,0.65257,0.71667,0.49124,1.2673,0.929,1.07896,0.00124037,0.00124037,0.00124037
6,4350.14,1.20398,0.86516,1.05953,0.68847,0.67507,0.71444,0.48649,1.28295,0.93044,1.08676,0.00119322,0.00119322,0.00119322
7,5073.64,1.21558,0.87425,1.06169,0.68309,0.68731,0.71227,0.48653,1.26046,0.92009,1.08325,0.00114606,0.00114606,0.00114606
8,5761.71,1.16903,0.83069,1.0385,0.69862,0.67284,0.71294,0.49176,1.25586,0.91459,1.07906,0.0010989,0.0010989,0.0010989
9,6446.75,1.17745,0.84758,1.04722,0.72296,0.65243,0.7191,0.49609,1.25398,0.90941,1.08142,0.00105174,0.00105174,0.00105174
10,7138.15,1.17055,0.83151,1.03954,0.71657,0.66559,0.72718,0.4966,1.2669,0.91664,1.08619,0.00100459,0.00100459,0.00100459
11,7824.18,1.18928,0.85684,1.05399,0.72437,0.65528,0.73141,0.50033,1.25056,0.90975,1.07269,0.00095743,0.00095743,0.00095743
12,8516.29,1.18359,0.84619,1.05221,0.7114,0.66522,0.73125,0.50317,1.24034,0.90728,1.06665,0.000910273,0.000910273,0.000910273
13,9194.88,1.17342,0.8372,1.04233,0.70563,0.6739,0.73638,0.51026,1.23738,0.89034,1.07208,0.000863116,0.000863116,0.000863116
14,9870.99,1.16114,0.82087,1.03799,0.70191,0.68512,0.73227,0.50955,1.22842,0.88475,1.07191,0.000815959,0.000815959,0.000815959
15,10543.6,1.15836,0.8226,1.0372,0.73218,0.67318,0.73649,0.50949,1.23472,0.8846,1.07206,0.000768802,0.000768802,0.000768802
16,11216.5,1.14943,0.81608,1.03499,0.72169,0.68154,0.73608,0.51105,1.23438,0.88179,1.07746,0.000721645,0.000721645,0.000721645
17,11885.1,1.15156,0.80486,1.03731,0.74483,0.67069,0.74225,0.51386,1.22939,0.87318,1.0692,0.000674488,0.000674488,0.000674488
18,12648.5,1.13247,0.7941,1.02301,0.73219,0.67727,0.74484,0.51735,1.22143,0.86909,1.06288,0.000627331,0.000627331,0.000627331
19,13341.5,1.1291,0.78814,1.02346,0.7492,0.67365,0.74323,0.51757,1.22271,0.86126,1.06546,0.000580174,0.000580174,0.000580174
20,14035.2,1.12861,0.78552,1.03097,0.72751,0.68754,0.74759,0.52602,1.21389,0.86369,1.05865,0.000533017,0.000533017,0.000533017
21,14694.3,1.15183,0.79135,1.03053,0.76113,0.67196,0.74875,0.52417,1.20374,0.85873,1.05839,0.00048586,0.00048586,0.00048586
22,15359.5,1.12629,0.77867,1.01717,0.73004,0.69144,0.75124,0.52267,1.20394,0.8549,1.05324,0.000438703,0.000438703,0.000438703
23,16022.3,1.1299,0.77014,1.02566,0.73199,0.68595,0.74959,0.52306,1.20155,0.85731,1.05376,0.000391546,0.000391546,0.000391546
24,16688.2,1.10983,0.76284,1.01548,0.72995,0.69296,0.75235,0.53308,1.19534,0.84317,1.0558,0.000344389,0.000344389,0.000344389
25,17392.6,1.09714,0.75201,1.00944,0.73969,0.68381,0.75214,0.52783,1.19729,0.84554,1.05664,0.000297232,0.000297232,0.000297232
26,18065.8,1.08975,0.74107,1.00468,0.74303,0.68386,0.75266,0.52765,1.19987,0.84653,1.05565,0.000250075,0.000250075,0.000250075
27,18714.1,1.08633,0.73549,1.00217,0.73666,0.70015,0.75646,0.53295,1.19094,0.83771,1.05377,0.000202918,0.000202918,0.000202918
28,19364.6,1.07609,0.72733,0.99876,0.72436,0.70493,0.75709,0.53177,1.19138,0.83365,1.05056,0.000155761,0.000155761,0.000155761
29,20053,1.06545,0.7159,0.99293,0.7497,0.68911,0.75841,0.53288,1.18917,0.83106,1.05058,0.000108604,0.000108604,0.000108604
30,20782.5,1.06173,0.71446,0.99463,0.76329,0.67812,0.75745,0.53515,1.18559,0.83022,1.04962,6.1447e-05,6.1447e-05,6.1447e-05
