epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2045.23,1.34698,1.44699,1.39687,0.63479,0.58971,0.60023,0.31662,1.62477,2.43268,2.06315,0.000663768,0.000663768,0.000663768
2,4101.47,1.38129,1.28624,1.43119,0.65337,0.6553,0.66708,0.3808,1.62777,2.2066,2.01244,0.00130848,0.00130848,0.00130848
3,6176.24,1.38787,1.24603,1.42871,0.69785,0.68188,0.68113,0.3903,1.67157,2.25971,1.98699,0.0019312,0.0019312,0.0019312
4,8225.28,1.34703,1.24619,1.42339,0.79009,0.71767,0.76547,0.45596,1.47056,1.55364,1.97161,0.001901,0.001901,0.001901
5,10273.3,1.3004,1.13774,1.37024,0.77451,0.71879,0.78108,0.48062,1.52793,1.48051,1.93501,0.001868,0.001868,0.001868
6,12319.8,1.26556,1.116,1.36682,0.80947,0.73848,0.78918,0.48865,1.39824,1.55399,1.80209,0.001835,0.001835,0.001835
7,14390.7,1.23803,1.06543,1.34244,0.81823,0.74422,0.81162,0.52357,1.20582,1.34421,1.63867,0.001802,0.001802,0.001802
8,16435.3,1.17657,0.99793,1.29436,0.81929,0.78233,0.83091,0.54232,1.3735,1.33878,1.84807,0.001769,0.001769,0.001769
9,18477,1.14382,0.98948,1.283,0.82245,0.7793,0.83527,0.54834,1.17475,1.18509,1.6094,0.001736,0.001736,0.001736
10,20518.2,1.12657,0.95241,1.27092,0.84781,0.78188,0.83946,0.56992,1.12225,1.16417,1.58479,0.001703,0.001703,0.001703
11,22558.6,1.11481,0.92229,1.25299,0.84892,0.78993,0.84296,0.57774,1.03678,1.11883,1.48215,0.00167,0.00167,0.00167
12,24603.2,1.10456,0.91262,1.2461,0.84487,0.78465,0.84495,0.57855,1.00536,1.06886,1.52734,0.001637,0.001637,0.001637
